init?shape0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height5?width5?
0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?
0?pos_derivs[[304.5, 232.19076250000018], [10.0, 23.46450000000006], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[305.0, 233.37625000000017], [10.0, 23.955000000000062], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[305.5, 234.58626250000017], [10.0, 24.445500000000063], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[306.0, 235.8208000000002], [10.0, 24.936000000000064], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[306.5, 237.0798625000002], [10.0, 25.426500000000065], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[307.0, 238.3634500000002], [10.0, 25.917000000000066], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[307.5, 239.6715625000002], [10.0, 26.407500000000066], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[308.0, 241.0042000000002], [10.0, 26.898000000000067], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[308.5, 242.3613625000002], [10.0, 27.388500000000068], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[309.0, 243.7430500000002], [10.0, 27.87900000000007], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[309.5, 245.14926250000022], [10.0, 28.36950000000007], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[310.0, 246.5800000000002], [10.0, 28.86000000000007], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[310.5, 248.03526250000021], [10.0, 29.35050000000007], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[311.0, 249.51505000000023], [10.0, 29.841000000000072], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[311.5, 251.01936250000023], [10.0, 30.331500000000073], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[312.0, 252.54820000000024], [10.0, 30.822000000000074], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[312.5, 254.10156250000023], [10.0, 31.312500000000075], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[313.0, 255.67945000000023], [10.0, 31.803000000000075], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[313.5, 257.2818625000002], [10.0, 32.29350000000007], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[314.0, 258.9088000000002], [10.0, 32.78400000000007], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[314.5, 260.5602625000002], [10.0, 33.27450000000007], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[315.0, 262.2362500000002], [10.0, 33.765000000000065], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[315.5, 263.9367625000002], [10.0, 34.25550000000006], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[316.0, 265.6618000000002], [10.0, 34.74600000000006], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[316.5, 267.4113625000002], [10.0, 35.236500000000056], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[317.0, 269.18545000000023], [10.0, 35.727000000000054], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[317.5, 270.9840625000002], [10.0, 36.21750000000005], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[318.0, 272.80720000000025], [10.0, 36.70800000000005], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[318.5, 274.65486250000026], [10.0, 37.198500000000045], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[319.0, 276.52705000000026], [10.0, 37.68900000000004], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[319.5, 278.42376250000024], [10.0, 38.17950000000004], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[320.0, 280.34500000000025], [10.0, 38.67000000000004], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[320.5, 282.29076250000026], [10.0, 39.160500000000035], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[321.0, 284.26105000000024], [10.0, 39.65100000000003], [0.0, 9.81], [0, 0]]?
