39?shapeCircle?pos[0.0, -76.51800000000004]?velocity[0.0, -39.24000000000004]?mass10.0?bounce1.0?staticFalse?radius10.0?
39?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
39?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
40?shapeCircle?pos[0.0, -80.44200000000005]?velocity[0.0, -40.22100000000004]?mass10.0?bounce1.0?staticFalse?radius10.0?
40?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
40?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
41?shapeCircle?pos[0.0, -84.46410000000006]?velocity[0.0, -41.20200000000004]?mass10.0?bounce1.0?staticFalse?radius10.0?
41?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
41?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
42?shapeCircle?pos[0.0, -88.58430000000007]?velocity[0.0, -42.18300000000004]?mass10.0?bounce1.0?staticFalse?radius10.0?
42?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
42?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
43?shapeCircle?pos[0.0, -92.80260000000007]?velocity[0.0, -43.164000000000044]?mass10.0?bounce1.0?staticFalse?radius10.0?
43?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
43?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
44?shapeCircle?pos[0.0, -97.11900000000007]?velocity[0.0, -44.145000000000046]?mass10.0?bounce1.0?staticFalse?radius10.0?
44?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
44?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
45?shapeCircle?pos[0.0, -101.53350000000007]?velocity[0.0, -45.12600000000005]?mass10.0?bounce1.0?staticFalse?radius10.0?
45?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
45?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
46?shapeCircle?pos[0.0, -106.04610000000008]?velocity[0.0, -46.10700000000005]?mass10.0?bounce1.0?staticFalse?radius10.0?
